Language,Nums
en,2039726
ja,312808
fr,306428
es,293558
de,277321
pl,228682
www,203720
ru,190917
it,143952
pt,127414
nl,99227
zh,90498
fa,86408
sv,61380
tr,57779
cs,56853
commons,51754
ar,40078
fi,39949
ko,37131
da,33159
no,27003
he,25292
ca,25006
hu,21166
id,18637
uk,17998
vi,17644
el,16871
bg,15789
ro,13307
et,13155
hr,11919
eo,11413
th,10391
ms,9555
lt,9434
gl,6632
en2,6550
az,5702
eu,4889
af,4585
cy,4149
mk,4146
br,4004
bs,3817
jp,3774
tl,3692
nn,3671
ka,3384
oc,3299
mr,3165
ta,3077
lv,3067
hi,2964
io,2905
kk,2737
la,2731
ml,2679
su,2476
be,2411
lb,2410
an,2276
yo,2244
be-x-old,2185
is,2172
zh-yue,2124
fy,2106
mg,2058
vo,2036
te,1884
meta,1867
ur,1757
jv,1708
bn,1647
tt,1575
qu,1529
arz,1500
sw,1461
kn,1438
ku,1410
hy,1408
ga,1399
als,1371
ast,1365
zh-min-nan,1299
nb,1209
li,1206
ne,1187
uz,1174
nds,1146
bar,1098
incubator,1079
fo,1072
ht,1037
ceb,994
mzn,978
war,957
new,955
pnb,900
nah,882
gd,860
vec,841
my,817
pms,777
lmo,761
cv,757
cz,747
mt,722
ia,720
diq,712
mn,710
am,677
bpy,663
gu,663
nap,644
ang,626
yi,623
os,575
km,567
gan,540
fiu-vro,514
wa,509
lo,499
nds-nl,482
ckb,482
hsb,479
bat-smg,466
mhr,459
zh-classical,447
sr,442
co,436
mi,432
ug,403
tk,397
map-bms,396
ksh,379
tg,377
ps,368
frp,364
kv,355
hif,354
ace,354
wuu,349
jbo,346
bjn,336
gv,335
myv,324
mwl,319
roa-tara,312
vls,307
bcl,305
kw,303
mrj,296
nrm,295
bh,294
szl,293
lij,291
dk,276
pam,272
ab,263
bo,258
fur,254
dv,252
csb,244
ky,239
gn,235
krc,232
arc,228
crh,227
xal,218
roa-rup,216
eml,212
pa,205
udm,202
nov,198
ext,197
ba,195
frr,195
ay,192
dsb,192
stq,192
pi,191
as,191
gag,189
tpi,184
lad,179
cbk-zam,175
koi,169
ilo,168
hak,167
kaa,161
rm,161
or,157
pag,153
ln,138
kbd,133
kl,133
mdf,132
ce,131
strategy,125
kab,120
nv,117
to,116
ty,116
na,105
pdc,103
haw,101
wo,101
av,100
ie,99
bug,95
fj,94
bm,87
za,86
cu,86
m,86
zea,85
pap,85
glk,85
pfl,85
xmf,84
zu,84
lbe,77
ig,74
chr,72
pcd,71
beta,67
tet,63
iu,60
ts,57
outreach,56
ee,56
ks,52
kg,52
rmy,51
ss,48
ch,48
epo,45
nostalgia,43
pnt,42
bi,41
ltg,40
srn,40
ti,39
om,37
cdo,36
st,35
ak,35
ik,33
pih,32
dz,31
cr,29
nso,28
ten,26
ha,25
ve,24
lg,24
nan,24
tw,23
xh,22
ny,22
tn,22
mo,20
ff,20
tum,18
chy,18
bxr,17
got,15
rn,14
quote,13
ki,12
ii,11
kj,11
zh-cfr,10
usability,10
ho,7
aa,6
ng,6
test,6
mh,5
hz,4
zh-tw,4
kr,4
cho,3
minnan,3
test2,2
mus,2
